,nflId,height,weight,birthDate,collegeName,position,displayName
37,2533040,74,215,1989-08-22,Rutgers,WR,Mohamed Sanu
38,2495613,72,196,1985-07-25,New Hampshire,FS,Corey Graham
39,2561132,74,215,1995-08-02,Yale,LB,Foye Oluokun
40,2558258,71,191,1995-03-20,West Virginia,WR,Shelton Gibson
41,2559033,72,233,1994-04-15,Oregon State,FB,Ricky Ortiz
42,2559109,74,205,1994-07-12,Kansas State,CB,Deante Burton
43,2539291,71,185,1991-02-07,Oregon State,WR,Markus Wheaton
44,2558168,74,209,1995-08-29,West Virginia,CB,Rasul Douglas
45,2555461,70,208,1994-01-20,West Virginia,RB,Wendell Smallwood
46,79607,71,210,1988-07-12,Pittsburgh,RB,LeSean McCoy
47,2495139,75,246,1989-02-13,Tulsa,TE,Charles Clay
48,2495189,69,188,1988-11-08,Texas Christian,WR,Jeremy Kerley
49,2543471,77,245,1991-02-05,Florida State,WR,Kelvin Benjamin
50,2557863,74,200,1995-03-30,East Carolina,WR,Zay Jones
51,2558191,74,225,1994-05-04,Pittsburgh,QB,Nathan Peterman
52,4365,72,210,1986-05-19,Grand Valley State,CB,Brandon Carr
53,2495775,71,195,1985-01-04,Utah,FS,Eric Weddle
54,2540164,71,211,1992-01-27,Oklahoma,SS,Tony Jefferson
55,2543464,74,250,1992-06-19,Alabama,ILB,C.J. Mosley
56,2552279,76,272,1992-09-08,Kentucky,OLB,Za'Darius Smith
57,2555378,69,185,1994-03-14,Temple,CB,Tavon Young
58,2555505,75,261,1992-08-15,Grand Valley State,OLB,Matt Judon
59,2558067,72,197,1996-07-08,Alabama,CB,Marlon Humphrey
60,2506268,73,245,1983-05-31,California,OLB,Lorenzo Alexander
61,2539240,72,197,1990-12-31,Iowa,SS,Micah Hyde
62,2539290,72,191,1991-04-25,Oregon State,FS,Jordan Poyer
63,2543851,72,193,1991-04-04,Rice,CB,Phillip Gaines
64,2557867,71,192,1995-01-16,Louisiana State,CB,Tre'Davious White
65,2557969,72,223,1994-07-28,Boston College,OLB,Matt Milano
66,2560713,77,250,1998-05-02,Virginia Tech,LB,Tremaine Edmunds
67,382,78,245,1985-01-16,Delaware,QB,Joe Flacco
68,71269,73,215,1987-09-14,Texas Tech,WR,Michael Crabtree
69,2543847,71,179,1990-04-03,Pittsburg State,WR,John Brown
70,2552402,76,270,1993-02-17,Delaware,TE,Nick Boyle
71,2552468,76,252,1994-04-12,Minnesota,TE,Maxx Williams
72,2555430,70,208,1994-08-26,Arkansas,RB,Alex Collins
73,2560766,71,192,1996-07-27,Weber State,CB,Taron Johnson
74,2550256,71,205,1992-10-17,Ball State,WR,Willie Snead
75,2552631,72,218,1991-08-27,Southern California,RB,Javorius Allen
76,2560729,74,196,1994-05-07,Alabama,WR,Robert Foster
77,2505660,75,265,1982-10-11,Arizona State,OLB,Terrell Suggs
78,2558990,75,311,1994-05-27,Maine,FB,Patrick Ricard
79,2508004,71,207,1987-03-27,Tennessee State,DB,Anthony Levine
80,2555209,73,200,1993-06-16,Cincinnati,WR,Chris Moore
81,2495453,76,210,1988-06-16,Hillsdale,WR,Andre Holmes
82,2543767,78,250,1991-07-01,Virginia Tech,TE,Logan Thomas
83,2559159,77,246,1994-02-28,Tennessee,TE,Jason Croom
84,2556642,72,227,1992-08-22,Portland State,ILB,Patrick Onwuasor
85,2558248,72,205,1995-04-19,Virginia Tech,FS,Chuck Clark
86,2507817,71,205,1987-05-12,South Carolina State,SS,Rafael Bush
87,2557841,75,244,1993-11-12,Alabama,OLB,Tim Williams
88,2560947,73,235,1994-11-15,UCLA,LB,Kenny Young
89,2552647,69,195,1991-10-03,Missouri,RB,Marcus Murphy
90,2558166,75,240,1995-05-23,Houston,OLB,Tyus Bowser
91,2560957,77,255,1995-09-06,Oklahoma,TE,Mark Andrews
92,2507999,72,223,1988-03-22,Tiffin University,RB,Chris Ivory
93,2560955,77,237,1996-05-21,Wyoming,QB,Josh Allen
94,2555229,70,228,1994-01-21,Louisiana Tech,RB,Kenneth Dixon
95,2560757,74,212,1997-01-07,Louisville,QB,Lamar Jackson
96,2561485,70,173,1993-11-20,Rutgers,WR,Janarion Grant
97,2560963,71,178,1994-11-30,Alabama,CB,Anthony Averett
98,2555178,73,193,1994-05-26,Virginia,CB,Maurice Canady
99,2561301,74,230,1995-07-23,North Dakota State,LB,Chris Board
100,2506109,77,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger
101,2508061,70,185,1988-07-10,Central Michigan,WR,Antonio Brown
102,2540151,76,203,1991-05-20,Tennessee,WR,Justin Hunter
103,2552633,79,250,1994-06-04,Penn State,TE,Jesse James
104,2557978,73,233,1995-05-05,Pittsburgh,RB,James Conner
105,2558149,73,215,1996-11-22,Southern California,WR,JuJu Smith-Schuster
106,2539311,75,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins
107,2543637,71,190,1992-05-17,Oregon,CB,Terrance Mitchell
108,2552389,71,196,1992-08-29,Arizona State,CB,Damarious Randall
109,2555166,73,245,1993-11-06,Wisconsin,MLB,Joe Schobert
110,2555540,70,210,1993-12-15,Texas Christian,SS,Derrick Kindred
111,2556475,69,193,1993-01-21,Minnesota,CB,Briean Boddy-Calhoun
112,2560916,71,191,1997-04-28,Ohio State,CB,Denzel Ward
113,2560920,71,213,1996-04-02,Oklahoma State,WR,James Washington
114,2560964,72,250,1995-04-26,Memphis,LB,Genard Avery
115,496727,73,210,1989-01-13,Georgia Tech,SS,Morgan Burnett
116,496733,71,195,1989-04-14,Florida,CB,Joe Haden
117,2539978,73,245,1991-05-05,Florida,ILB,Jon Bostic
118,2540221,73,233,1989-12-27,Florida State,ILB,Vince Williams
119,2552289,76,269,1993-02-12,Kentucky,OLB,Bud Dupree
120,2555344,72,197,1995-05-01,Miami,CB,Artie Burns
121,2555386,73,202,1993-10-23,Maryland,SS,Sean Davis
122,2556559,69,184,1994-03-09,Mississippi,CB,Mike Hilton
123,2558064,76,252,1994-10-11,Wisconsin,OLB,T.J. Watt
124,2495240,73,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor
125,2537931,75,225,1991-04-13,Utah,WR,Josh Gordon
126,2540928,79,270,1986-04-22,California-Irvine,TE,Darren Fells
127,2543488,71,196,1992-11-28,Louisiana State,WR,Jarvis Landry
128,2543743,72,229,1990-09-20,Ohio State,RB,Carlos Hyde
129,2557986,76,246,1996-07-10,Miami,TE,David Njoku
130,2552461,69,210,1993-09-23,Miami,RB,Duke Johnson
131,2555468,73,198,1994-10-07,Colorado State,WR,Rashard Higgins
132,2560712,73,217,1997-01-20,Virginia Tech,S,Terrell Edmunds
133,2550235,71,248,1992-03-30,Kent State,FB,Roosevelt Nix
134,2550521,76,261,1992-09-22,Southern California,TE,Xavier Grimble
135,2543720,74,235,1992-08-31,Iowa,OLB,Christian Kirksey
136,2557980,71,213,1995-10-04,Michigan,FS,Jabrill Peppers
137,2560988,71,200,1997-01-09,Florida,WR,Antonio Callaway
138,2552266,75,255,1992-12-10,Miami,OLB,Anthony Chickillo
139,2561021,71,225,1995-12-27,Georgia,RB,Nick Chubb
140,2557960,68,185,1994-11-04,North Carolina,WR,Ryan Switzer
141,2558849,71,188,1995-02-27,Tennessee,CB,Cameron Sutton
142,2556365,75,245,1993-01-29,Princeton,TE,Seth DeValve
143,2550164,72,204,1990-07-28,Ohio,CB,T.J. Carrie
144,2561470,76,207,1994-10-17,Texas Tech,WR,Derrick Willies
145,2533060,74,190,1989-10-26,Alabama,CB,Dre Kirkpatrick
146,2543814,73,255,1992-10-27,Louisville,MLB,Preston Brown
147,2555355,72,205,1993-06-02,Illinois,FS,Clayton Fejedelem
148,2555528,74,235,1993-08-20,Utah State,OLB,Nick Vigil
149,2556367,72,196,1992-10-27,Houston,CB,William Jackson
150,2558801,75,242,1995-01-27,Oklahoma,OLB,Jordan Evans
151,2560970,73,200,1997-02-26,Wake Forest,S,Jessie Bates
152,2532865,70,183,1989-11-14,Florida International,WR,T.Y. Hilton
153,2533031,76,240,1989-09-12,Stanford,QB,Andrew Luck
154,2540232,78,262,1990-05-05,Western Kentucky,TE,Jack Doyle
155,2543466,76,253,1993-04-10,North Carolina,TE,Eric Ebron
156,2543759,72,194,1990-12-19,Tulane,WR,Ryan Grant
157,2560933,73,217,1994-07-18,Mississippi,RB,Jordan Wilkins
158,2543474,71,205,1991-10-10,Michigan State,CB,Darqueze Dennard
159,2556396,72,184,1994-01-12,Grambling State,WR,Chester Rogers
160,2558877,74,214,1994-12-18,Old Dominion,WR,Zach Pascal
161,2560742,69,198,1996-11-12,North Carolina State,RB,Nyheim Hines
162,2495143,74,220,1987-10-29,Texas Christian,QB,Andy Dalton
163,2495450,76,210,1988-07-31,Georgia,WR,A.J. Green
164,2540148,78,255,1990-09-08,Notre Dame,TE,Tyler Eifert
165,2540156,69,205,1991-11-22,North Carolina,HB,Giovani Bernard
166,2555466,74,203,1994-11-15,Pittsburgh,WR,Tyler Boyd
167,2558010,71,194,1995-11-27,Washington,WR,John Ross
168,2552386,74,216,1992-06-01,Central Florida,FS,Clayton Geathers
169,2556429,71,209,1992-07-15,Notre Dame,SS,Matthias Farley
170,2557961,74,193,1996-08-16,Florida,CB,Quincy Wilson
171,2558108,72,185,1994-06-30,Temple,CB,Nate Hairston
172,2558851,73,230,1995-08-08,Northwestern,ILB,Anthony Walker
173,2558976,69,190,1995-08-23,Valdosta State,CB,Kenny Moore II
174,2560789,74,230,1995-07-27,South Carolina State,LB,Darius Leonard
175,2552586,78,250,1992-10-15,Rutgers,TE,Tyler Kroft
176,2550405,76,255,1992-05-08,Miami,TE,Erik Swoope
177,2552559,78,260,1993-01-14,Auburn,TE,C.J. Uzomah
178,2557976,73,220,1996-07-24,Oklahoma,HB,Joe Mixon
179,2558060,73,212,1996-04-02,Ohio State,FS,Malik Hooker
180,2560816,74,225,1995-01-08,South Carolina,ILB,Skai Moore
181,2539233,72,210,1991-05-13,Georgia,SS,Shawn Williams
182,2561155,72,236,1996-07-02,Syracuse,ILB,Zaire Franklin
183,2558982,72,235,1994-01-05,Illinois,MLB,Hardy Nickerson
184,2556493,71,228,1992-10-24,Texas A&M,RB,Tra Carson
185,2533016,72,244,1989-06-04,West Virginia,OLB,Najee Goode
186,2558127,75,205,1996-03-21,Tennessee,WR,Josh Malone
187,2556519,72,195,1992-11-06,Wisconsin,WR,Alex Erickson
188,2354,72,233,1986-07-21,Kentucky,ILB,Wesley Woodyard
189,71423,76,257,1986-07-31,Texas,OLB,Brian Orakpo
190,2539320,72,214,1991-02-15,Texas,SS,Kenny Vaccaro
191,2540162,71,195,1991-02-09,Rutgers,CB,Logan Ryan
192,2550613,71,190,1990-03-02,West Alabama,CB,Malcolm Butler
193,2555158,71,212,1993-08-17,Middle Tennessee,FS,Kevin Byard
194,2555320,74,242,1993-07-08,UCLA,OLB,Aaron Wallace
195,2558005,72,226,1995-02-26,UCLA,ILB,Jayon Brown
196,2558065,71,185,1995-09-18,Southern California,CB,Adoree' Jackson
197,2649,71,185,1985-11-02,Texas Tech,WR,Danny Amendola
198,2532956,76,207,1988-07-27,Texas A&M,QB,Ryan Tannehill
199,2540202,73,202,1992-04-22,Oklahoma,WR,Kenny Stills
200,2555230,73,211,1994-01-26,Alabama,RB,Kenyan Drake
201,2556190,67,169,1992-10-30,Texas Tech,WR,Jakeem Grant
202,2560994,78,252,1995-10-03,Penn State,TE,Mike Gesicki
203,2495469,68,195,1990-09-27,Pittsburgh,RB,Dion Lewis
204,2495966,74,248,1984-08-12,Central Missouri State,TE,Delanie Walker
205,2532903,72,217,1989-10-12,Nevada,WR,Rishard Matthews
206,2552466,76,222,1993-10-30,Oregon,QB,Marcus Mariota
207,2555317,74,194,1994-12-23,Massachusetts,WR,Tajae Sharpe
208,2557848,75,209,1995-01-11,Western Michigan,WR,Corey Davis
209,496739,73,215,1988-02-25,Georgia,SS,Reshad Jones
210,2539309,74,215,1991-01-26,USC,SS,T.J. McDonald
211,2539935,75,239,1990-08-14,Oregon,OLB,Kiko Alonso
212,2552434,71,192,1993-08-18,Memphis,CB,Bobby McCain
213,2555539,73,200,1993-07-04,Baylor,CB,Xavien Howard
214,2558070,74,242,1995-11-17,Ohio State,LB,Raekwon McMillan
215,2560725,73,207,1996-11-17,Alabama,S,Minkah Fitzpatrick
216,2555339,75,241,1994-04-27,Boise State,ILB,Kamalei Correa
217,2561328,76,250,1995-10-01,Temple,OLB,Sharif Finch
218,2552580,77,240,1991-09-20,Arkansas,TE,A.J. Derby
219,2550272,69,195,1992-07-12,Georgia State,WR,Albert Wilson
220,496828,76,261,1989-01-06,Georgia Tech,OLB,Derrick Morgan
221,2541539,71,225,1990-11-27,Auburn,ILB,Daren Bates
222,2555551,72,203,1993-09-18,Southern Utah,CB,LeShaun Sims
223,2506404,69,212,1983-05-14,Miami,RB,Frank Gore
224,2540013,73,235,1989-09-19,Nebraska,ILB,Will Compton
225,2560880,78,260,1995-08-09,Notre Dame,TE,Durham Smythe
226,2556075,75,247,1994-01-04,Alabama,RB,Derrick Henry
227,2558207,75,248,1995-08-22,Florida International,TE,Jonnu Smith
228,2495441,77,235,1989-10-15,Missouri,QB,Blaine Gabbert
229,2557870,71,205,1995-03-02,Western Kentucky,WR,Taywan Taylor
230,2495234,77,253,1988-07-17,Tennessee,TE,Luke Stocker
231,2560966,74,225,1996-12-25,Ohio State,LB,Jerome Baker
232,2559043,75,246,1993-08-29,Southern Illinois,OLB,Chase Allen
233,2553896,70,180,1992-06-28,Virginia,WR,Darius Jennings
234,2559053,71,188,1995-04-10,Nevada-Las Vegas,CB,Torry McTyer
235,496735,70,185,1988-04-10,Alabama,CB,Kareem Jackson
236,2495872,71,185,1984-04-16,South Carolina,CB,Johnathan Joseph
237,2533049,76,258,1990-07-21,Illinois,OLB,Whitney Mercilus
238,2540180,69,190,1992-05-13,Louisiana State,FS,Tyrann Mathieu
239,2543501,72,191,1991-10-02,Oklahoma,CB,Aaron Colvin
240,2552261,72,185,1992-08-05,Wake Forest,CB,Kevin Johnson
241,2558094,75,238,1994-12-02,Vanderbilt,ILB,Zach Cunningham
242,2560851,73,204,1997-02-15,Stanford,SS,Justin Reid
243,497240,78,265,1989-05-14,Arizona,TE,Rob Gronkowski
244,2504211,76,225,1977-08-03,Michigan,QB,Tom Brady
245,2530515,73,210,1987-10-24,"Monmouth, N.J.",WR,Chris Hogan
246,2539265,70,215,1990-07-02,Nebraska,RB,Rex Burkhead
247,2543773,70,205,1992-02-03,Wisconsin,RB,James White
248,2552424,70,192,1993-01-05,Miami,WR,Phillip Dorsett
249,2552490,76,257,1992-11-19,Mississippi State,ILB,Benardrick McKinney
250,2533046,76,260,1990-02-24,Clemson,TE,Dwayne Allen
251,2533034,70,221,1991-04-25,Miami,RB,Lamar Miller
252,2540165,73,212,1992-06-06,Clemson,WR,DeAndre Hopkins
253,2543646,69,200,1991-08-22,South Carolina,WR,Bruce Ellington
254,2558063,74,221,1995-09-14,Clemson,QB,Deshaun Watson
255,2560896,77,277,1996-08-02,Mississippi State,TE,Jordan Thomas
256,2561427,75,202,1996-06-09,Limestone,WR,Vyncint Smith
257,71251,71,215,1987-08-19,Oregon,SS,Patrick Chung
258,494287,70,195,1987-08-13,Rutgers,FS,Devin McCourty
259,2533057,75,260,1990-03-12,Alabama,MLB,Dont'a Hightower
260,2533062,73,202,1990-09-19,South Carolina,CB,Stephon Gilmore
261,2552255,73,205,1992-10-03,Utah,CB,Eric Rowe
262,2556119,72,238,1994-04-22,Houston,MLB,Elandon Roberts
263,2556571,70,190,1993-09-20,Auburn,CB,Jonathan Jones
264,2560951,76,243,1992-04-19,Central Florida,TE,Jordan Akins
265,2541243,73,205,1991-01-24,Rutgers,FS,Duron Harmon
266,2543699,75,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy
267,2541316,78,255,1990-01-11,Connecticut,TE,Ryan Griffin
268,2561143,74,255,1996-08-24,Purdue,LB,Ja'Whaun Bentley
269,2559211,69,198,1993-06-16,Iowa,WR,Riley McCarron
270,2508101,75,255,1988-07-23,Brown,FB,James Develin
271,2543603,73,230,1992-10-20,LSU,RB,Jeremy Hill
272,2552470,73,210,1993-03-31,Auburn,WR,Sammie Coates
273,2559152,72,237,1994-05-19,Missouri State,ILB,Dylan Cole
274,2555234,70,185,1993-10-07,San Jose State,RB,Tyler Ervin
275,2540145,74,238,1991-03-17,Tennessee,WR,Cordarrelle Patterson
276,2543600,74,225,1991-04-27,LSU,RB,Alfred Blue
277,89756,71,195,1987-08-13,Rutgers,CB,Jason McCourty
278,2506581,74,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick
279,2543468,77,231,1993-08-21,Texas A&M,WR,Mike Evans
280,2550656,77,245,1991-07-03,Harvard,TE,Cameron Brate
281,2556466,71,225,1994-02-27,Auburn,RB,Peyton Barber
282,2557856,78,250,1994-11-18,Alabama,TE,O.J. Howard
283,2558105,73,209,1996-02-27,Penn State,WR,Chris Godwin
284,494261,71,208,1988-04-01,Ohio State,SS,Kurt Coleman
285,2533008,74,248,1989-01-11,Arkansas State,ILB,Demario Davis
286,2555530,71,205,1994-12-12,Ohio State,FS,Vonn Bell
287,2556735,73,180,1993-02-08,Colorado,CB,Ken Crawley
288,2558061,72,192,1996-05-20,Ohio State,CB,Marshon Lattimore
289,2558163,75,240,1994-09-22,Florida,OLB,Alex Anzalone
290,2558847,73,195,1996-09-08,Utah,FS,Marcus Williams
291,2495471,66,205,1990-02-06,Oregon State,RB,Jacquizz Rodgers
292,2553895,71,195,1993-06-24,Clemson,WR,Adam Humphries
293,2508084,71,191,1987-09-07,Florida State,CB,Patrick Robinson
294,1581,70,175,1986-12-01,California,WR,DeSean Jackson
295,2495272,74,203,1989-02-23,California,SS,Chris Conte
296,2532828,73,233,1990-01-23,Nebraska,OLB,Lavonte David
297,2550565,72,230,1990-09-21,Florida Atlantic,MLB,Adarius Taylor
298,2552592,73,227,1994-08-03,Louisiana State,MLB,Kwon Alexander
299,2555299,70,204,1995-06-03,Florida,CB,Vernon Hargreaves III
300,2557945,72,199,1995-08-26,Texas A&M,SS,Justin Evans
301,2560884,71,205,1995-09-16,North Carolina,CB,M.J. Stewart
302,2504775,72,209,1979-01-15,Purdue,QB,Drew Brees
303,2539303,73,233,1990-04-26,Southern Methodist,FB,Zach Line
304,2541834,77,250,1990-05-21,Idaho State,TE,Josh Hill
305,2556370,75,212,1993-03-03,Ohio State,WR,Michael Thomas
306,2558019,70,215,1995-07-25,Tennessee,RB,Alvin Kamara
307,2560878,74,210,1996-01-07,Central Florida,WR,Tre'Quan Smith
308,2555552,71,190,1993-09-07,North Carolina Central,CB,Ryan Smith
309,2506122,75,255,1980-12-18,Georgia,TE,Benjamin Watson
310,2507166,71,180,1985-04-12,Ohio State,WR,Ted Ginn
311,2558928,73,195,1993-12-25,Northwestern,WR,Austin Carr
312,2561039,73,206,1996-12-31,Auburn,CB,Carlton Davis
313,2550223,72,195,1991-09-07,North Greenville,WR,Freddie Martino
314,2556508,73,235,1993-07-02,Memphis,TE,Alan Cross
315,2559044,78,256,1993-05-28,"Laval, Can.",TE,Antony Auclair
316,2539277,73,241,1991-01-26,Notre Dame,MLB,Manti Te'o
317,2539982,73,240,1991-07-30,Iowa State,OLB,A.J. Klein
318,2556752,67,168,1992-10-24,Northern Illinois,WR,Tommylee Lewis
319,2539663,71,210,1990-11-01,Florida,RB,Mike Gillislee
320,2555227,72,217,1994-02-02,Arkansas,RB,Jonathan Williams
321,2495211,73,242,1989-08-09,Nebraska,TE,Niles Paul
322,2543477,77,236,1992-04-28,Central Florida,QB,Blake Bortles
323,2543683,77,262,1992-09-29,Washington,TE,Austin Seferian-Jenkins
324,2553318,76,245,1992-01-14,Illinois State,TE,James O'Shaughnessy
325,2557973,72,228,1995-01-18,Louisiana State,RB,Leonard Fournette
326,2561018,76,198,1996-09-23,Louisiana State,WR,D.J. Chark
327,71197,76,255,1986-10-15,Cincinnati,OLB,Connor Barwin
328,2532875,70,190,1988-10-29,North Alabama,CB,Janoris Jenkins
329,2540143,75,250,1991-09-25,Georgia,LB,Alec Ogletree
330,2543738,78,262,1992-02-19,North Carolina,OLB,Kareem Martin
331,2552454,72,218,1994-01-10,Alabama,SS,Landon Collins
332,2555277,73,203,1995-08-09,Ohio State,CB,Eli Apple
333,2555522,73,242,1993-05-29,Clemson,ILB,B.J. Goodson
334,2543614,74,215,1993-08-06,Mississippi,WR,Donte Moncrief
335,2552471,73,223,1993-10-02,Alabama,RB,T.J. Yeldon
336,2557895,72,176,1993-11-21,Oklahoma,WR,Dede Westbrook
337,2559153,73,194,1993-04-20,Kentucky Wesleyan,WR,Keelan Cole
338,2539338,71,190,1990-05-03,William & Mary,CB,B.W. Webb
339,2541792,75,220,1991-03-05,Miami,OLB,Ray-Ray Armstrong
340,2553822,72,190,1992-07-18,Fresno State,FS,Curtis Riley
341,2561015,77,250,1995-12-10,Georgia,OLB,Lorenzo Carter
342,2535687,71,195,1990-03-17,Stanford,SS,Michael Thomas
343,494259,74,218,1988-02-11,Toledo,SS,Barry Church
344,2532848,73,212,1990-08-07,Wyoming,FS,Tashaun Gipson
345,2539237,71,190,1990-06-27,Houston,CB,D.J. Hayden
346,2539662,75,249,1990-08-26,Florida,DE,Lerentee McCray
347,2541162,72,191,1991-08-16,Central Florida,CB,A.J. Bouye
348,2543711,75,215,1991-04-11,Florida State,OLB,Telvin Smith
349,2555280,73,208,1994-10-24,Florida State,CB,Jalen Ramsey
350,2555329,73,244,1995-09-03,UCLA,OLB,Myles Jack
351,2505996,77,218,1981-01-03,Mississippi,QB,Eli Manning
352,2543496,71,198,1992-11-05,Louisiana State,WR,Odell Beckham Jr.
353,2543590,75,222,1992-10-10,Indiana,WR,Cody Latimer
354,2555295,70,201,1993-02-10,Oklahoma,WR,Sterling Shepard
355,2557858,75,240,1994-09-02,Mississippi,TE,Evan Engram
356,2557952,72,210,1994-10-01,Clemson,RB,Wayne Gallman
357,2532835,77,255,1988-10-03,USC,TE,Rhett Ellison
358,2540225,73,246,1990-09-10,Wake Forest,FB,Tommy Bohanon
359,2560968,72,233,1997-02-09,Penn State,RB,Saquon Barkley
360,2560758,74,245,1995-10-03,Wisconsin,LB,Leon Jacobs
361,2550599,77,255,1992-04-13,Assumption,TE,Scott Simonson
362,2561008,75,214,1997-04-18,Alabama,DB,Ronnie Harrison
363,949,70,245,1987-03-21,Oregon,RB,Jonathan Stewart
364,2559254,73,240,1993-08-21,San Jose State,FB,Shane Smith
365,2553650,71,203,1991-12-19,Auburn,RB,Corey Grant
366,2556711,74,210,1994-02-09,Michigan,SS,Jarrod Wilson
367,2506340,76,213,1984-05-07,Utah,QB,Alex Smith
368,2540011,68,195,1990-10-20,Florida State,RB,Chris Thompson
369,2540160,74,242,1990-07-03,Florida,TE,Jordan Reed
370,2543491,72,180,1992-04-13,Colorado,WR,Paul Richardson
371,2552415,69,177,1993-06-17,Duke,WR,Jamison Crowder
372,2555343,74,205,1992-12-03,Texas Christian,WR,Josh Doctson
373,2495504,73,203,1990-07-11,Louisiana State,CB,Patrick Peterson
374,2495807,71,201,1984-07-27,Howard,FS,Antoine Bethea
375,2539932,71,192,1990-09-29,Boise State,CB,Jamar Taylor
376,2543769,73,211,1992-08-30,Washington State,ILB,Deone Bucannon
377,2543830,73,205,1992-06-25,North Carolina,FS,Tre Boston
378,2557887,73,235,1994-09-22,Temple,ILB,Haason Reddick
379,2558009,70,195,1996-01-10,Washington,FS,Budda Baker
380,2507164,73,220,1985-03-21,Oklahoma,RB,Adrian Peterson
381,2530491,73,235,1989-08-24,Auburn,ILB,Josh Bynes
382,2495826,75,248,1984-01-31,Maryland,TE,Vernon Davis
383,2495190,76,265,1988-08-16,Purdue,OLB,Ryan Kerrigan
384,2495281,73,250,1989-03-01,Washington,ILB,Mason Foster
385,2532804,73,250,1989-10-23,North Carolina,ILB,Zach Brown
386,2532920,72,200,1987-12-15,Coastal Carolina,CB,Josh Norman
387,2539943,70,205,1991-09-01,South Carolina,FS,D.J. Swearinger
388,2552276,77,265,1992-11-17,Mississippi State,OLB,Preston Smith
389,2553796,74,202,1992-07-22,Florida,CB,Quinton Dunbar
390,2558133,74,212,1995-12-04,Michigan State,FS,Montae Nicholson
391,2558136,72,204,1994-04-09,UCLA,CB,Fabian Moreau
392,497095,76,224,1987-11-08,Oklahoma,QB,Sam Bradford
393,2506106,75,218,1983-08-31,Pittsburgh,WR,Larry Fitzgerald
394,2553435,73,224,1991-12-16,Northern Iowa,RB,David Johnson
395,2558208,74,204,1994-10-19,Grambling,WR,Chad Williams
396,2559248,77,243,1995-03-15,Texas A&M,TE,Ricky Seals-Jones
397,2560781,71,200,1996-11-18,Texas A&M,WR,Christian Kirk
398,2557880,76,245,1994-02-20,Louisville,ILB,Josh Harvey-Clemons
399,2557886,77,255,1994-08-10,Arkansas,TE,Jeremy Sprinkle
400,2560711,69,210,1996-04-13,Fordham,RB,Chase Edmonds
401,2556414,72,229,1992-10-03,Tulane,RB,Rob Kelley
402,2495201,75,265,1988-12-17,Mississippi State,OLB,Pernell McPhee
403,2557853,74,253,1994-08-12,Alabama,OLB,Ryan Anderson
